f1_slpm,f1_str_acc,f1_str_def,f1_td_avg,f1_td_acc,f1_td_def,f1_sub_avg,f2_slpm,f2_str_acc,f2_str_def,f2_td_avg,f2_td_acc,f2_td_def,f2_sub_avg,reach_diff,height_diff,weight_diff,age_diff,slpm_ratio,str_acc_ratio,str_def_ratio,td_avg_ratio,td_acc_ratio,td_def_ratio,sub_avg_ratio,reach_advantage,height_advantage,weight_advantage,age_advantage,f1_striking_score,f2_striking_score,f1_grappling_score,f2_grappling_score,striking_score_diff,grappling_score_diff,reach_x_height,weight_x_reach,age_x_reach,reach_diff_squared,age_diff_squared,weight_diff_squared,striker_vs_grappler,f1_strike_grapple_ratio,f2_strike_grapple_ratio,strike_grapple_ratio_diff,f1_stance_,f1_stance_Orthodox,f1_stance_Southpaw,f1_stance_Switch,f1_stance_nan,f2_stance_,f2_stance_Orthodox,f2_stance_Southpaw,f2_stance_Switch,f2_stance_nan,label
2.0,0.52,0.42,5.74,0.69,0.0,2.5,3.22,0.43,0.46,0.59,0.38,0.46,0.0,-3.0,0.0,-16,-6.0,0.6211180124223602,1.2093023255813955,0.9130434782608695,9.728813559322035,1.8157894736842104,0.0,25.0,0,0,0,1,0.4368,0.636916,0.0,0.103132,-0.20011600000000002,-0.103132,-0.0,48.0,18.0,9.0,36.0,256,0,4.368,3.1354784081287046,1.2325215918712957,False,True,False,False,False,False,True,False,False,False,1
3.22,0.43,0.46,0.59,0.38,0.46,0.0,2.0,0.52,0.42,5.74,0.69,0.0,2.5,3.0,0.0,16,6.0,1.61,0.8269230769230769,1.0952380952380953,0.10278745644599302,0.5507246376811594,4.6,0.0,1,0,1,0,0.636916,0.4368,0.103132,0.0,0.20011600000000002,0.103132,0.0,48.0,18.0,9.0,36.0,256,0,3.1354784081287046,4.368,-1.2325215918712957,False,True,False,False,False,False,True,False,False,False,0
6.36,0.45,0.63,0.34,0.2,0.86,0.0,8.09,0.43,0.54,0.39,0.66,0.7,0.2,3.0,0.0,0,1.0,0.7861557478368356,1.0465116279069768,1.1666666666666665,0.8717948717948718,0.30303030303030304,1.2285714285714286,0.0,1,0,0,0,1.80306,1.878498,0.058480000000000004,0.18018,-0.0754379999999999,-0.1217,0.0,0.0,3.0,9.0,1.0,0,0,11.37720848056537,6.704611321293455,4.672597159271915,False,False,True,False,False,False,True,False,False,False,1
8.09,0.43,0.54,0.39,0.66,0.7,0.2,6.36,0.45,0.63,0.34,0.2,0.86,0.0,-3.0,0.0,0,-1.0,1.272012578616352,0.9555555555555555,0.8571428571428572,1.1470588235294117,3.3,0.813953488372093,2.0,0,0,0,0,1.878498,1.80306,0.18018,0.058480000000000004,0.0754379999999999,0.1217,-0.0,-0.0,3.0,9.0,1.0,0,0,6.704611321293455,11.37720848056537,-4.672597159271915,False,True,False,False,False,False,False,True,False,False,0
6.36,0.45,0.63,0.34,0.2,0.86,0.0,5.64,0.53,0.55,1.78,0.32,0.6,0.0,4.0,1.0,0,-7.0,1.1276595744680853,0.8490566037735849,1.1454545454545453,0.1910112359550562,0.625,1.4333333333333333,0.0,1,0,0,1,1.80306,1.64406,0.058480000000000004,0.34176,0.15900000000000003,-0.28328,4.0,0.0,-28.0,16.0,49.0,0,0,11.37720848056537,3.7216135458167328,7.655594934748637,False,False,True,False,False,False,True,False,False,False,1
5.64,0.53,0.55,1.78,0.32,0.6,0.0,6.36,0.45,0.63,0.34,0.2,0.86,0.0,-4.0,-1.0,0,7.0,0.8867924528301886,1.1777777777777778,0.8730158730158731,5.235294117647059,1.5999999999999999,0.6976744186046512,0.0,0,0,0,0,1.64406,1.80306,0.34176,0.058480000000000004,-0.15900000000000003,0.28328,4.0,-0.0,-28.0,16.0,49.0,0,0,3.7216135458167328,11.37720848056537,-7.655594934748637,False,True,False,False,False,False,False,True,False,False,0
3.44,0.44,0.42,0.0,0.0,0.33,1.7,5.02,0.56,0.53,0.0,0.0,0.6,0.2,3.0,1.0,0,-5.0,0.6852589641434264,0.7857142857142857,0.7924528301886792,0.0,0.0,0.55,8.5,1,0,0,1,0.635712,1.489936,0.0,0.0,-0.8542239999999999,0.0,3.0,0.0,-15.0,9.0,25.0,0,0,6.35712,14.899359999999998,-8.542239999999998,False,True,False,False,False,False,True,False,False,False,1
6.36,0.45,0.63,0.34,0.2,0.86,0.0,4.2,0.46,0.54,2.4,0.29,0.78,0.1,-2.0,-2.0,0,-1.0,1.5142857142857142,0.9782608695652174,1.1666666666666665,0.1416666666666667,0.6896551724137931,1.1025641025641024,0.0,0,0,0,0,1.80306,1.0432800000000002,0.058480000000000004,0.54288,0.7597799999999999,-0.48440000000000005,4.0,-0.0,2.0,4.0,1.0,0,0,11.37720848056537,1.6228222996515682,9.754386180913801,False,False,True,False,False,False,True,False,False,False,1
4.2,0.46,0.54,2.4,0.29,0.78,0.1,6.36,0.45,0.63,0.34,0.2,0.86,0.0,2.0,2.0,0,1.0,0.660377358490566,1.0222222222222221,0.8571428571428572,7.058823529411764,1.4499999999999997,0.9069767441860466,1.0,0,0,0,0,1.0432800000000002,1.80306,0.54288,0.058480000000000004,-0.7597799999999999,0.48440000000000005,4.0,0.0,2.0,4.0,1.0,0,0,1.6228222996515682,11.37720848056537,-9.754386180913801,False,True,False,False,False,False,False,True,False,False,0
5.02,0.56,0.53,0.0,0.0,0.6,0.2,3.44,0.44,0.42,0.0,0.0,0.33,1.7,-3.0,-1.0,0,5.0,1.4593023255813953,1.272727272727273,1.261904761904762,0.0,0.0,1.8181818181818181,0.11764705882352942,0,0,0,0,1.489936,0.635712,0.0,0.0,0.8542239999999999,0.0,3.0,-0.0,-15.0,9.0,25.0,0,0,14.899359999999998,6.35712,8.542239999999998,False,True,False,False,False,False,True,False,False,False,0
